symbol,current_price,current_market_cap,company_name,sector,exchange
PNC,229.32,89434800000.0,"The PNC Financial Services Group, Inc.",Banks - Regional,NYSE
PNR,101.37,16588377376.0,Pentair plc,Industrial - Machinery,NYSE
PNW,99.39,11896028757.0,Pinnacle West Capital Corporation,Regulated Electric,NYSE
PODD,242.74,17076006021.0,Insulet Corporation,Medical - Devices,NASDAQ
POOL,265.83,9920246332.0,Pool Corporation,Industrial - Distribution,NASDAQ
PPG,131.34,29472696000.0,"PPG Industries, Inc.",Chemicals - Specialty,NYSE
PPL,37.82,27976928980.0,PPL Corporation,Regulated Electric,NYSE
PRU,104.61,36404281255.0,"Prudential Financial, Inc.",Insurance - Life,NYSE
PSA,300.35,52713227100.0,Public Storage,REIT - Industrial,NYSE
PSX,159.77,64374709739.0,Phillips 66,Oil & Gas Refining & Marketing,NYSE
PWR,524.08,78148654059.0,"Quanta Services, Inc.",Engineering & Construction,NYSE
QCOM,140.7,150273949650.0,QUALCOMM Incorporated,Semiconductors,NASDAQ
RBLX,63.17,44768960484.0,Roblox Corporation,Electronic Gaming & Multimedia,NYSE
RCL,319.61,87161782114.0,Royal Caribbean Cruises Ltd.,Travel Services,NYSE
REG,76.18,13933398180.0,Regency Centers Corporation,REIT - Retail,NASDAQ
REGN,803.17,83451499432.0,"Regeneron Pharmaceuticals, Inc.",Biotechnology,NASDAQ
RF,29.74,26078306277.0,Regions Financial Corporation,Banks - Regional,NYSE
RGA,219.74,14439957444.0,"Reinsurance Group of America, Incorporated",Insurance - Reinsurance,NYSE
RJF,158.68,31334522780.0,"Raymond James Financial, Inc.",Financial - Capital Markets,NYSE
RL,369.18,22387318490.0,Ralph Lauren Corporation,Apparel - Manufacturers,NYSE
RMD,252.55,36863786792.0,ResMed Inc.,Medical - Instruments & Supplies,NYSE
ROK,394.37,44340272802.0,"Rockwell Automation, Inc.",Industrial - Machinery,NYSE
ROKU,90.06,13306524586.0,"Roku, Inc.",Entertainment,NASDAQ
ROP,321.41,34595747983.0,"Roper Technologies, Inc.",Industrial - Machinery,NASDAQ
ROST,196.54,63919968158.0,"Ross Stores, Inc.",Apparel - Retail,NASDAQ
RSG,223.17,69677203434.0,"Republic Services, Inc.",Waste Management,NYSE
RTX,200.06,268538072461.0,RTX Corporation,Aerospace & Defense,NYSE
RVTY,96.03,11146448801.0,"Revvity, Inc.",Medical - Diagnostics & Research,NYSE
SBAC,200.77,21394653510.0,SBA Communications Corporation,REIT - Specialty,NASDAQ
SBUX,93.79,106854947000.0,Starbucks Corporation,Restaurants,NASDAQ
SCHW,93.72,170122362824.0,The Charles Schwab Corporation,Financial - Capital Markets,NYSE
SEE,41.93,6175073030.0,Sealed Air Corporation,Packaging & Containers,NYSE
SHW,368.89,91445617660.0,The Sherwin-Williams Company,Chemicals - Specialty,NYSE
SIRI,21.29,7165397486.0,Sirius XM Holdings Inc.,Entertainment,NASDAQ
SJM,110.53,11792923963.0,The J. M. Smucker Company,Packaged Foods,NYSE
SLB,50.39,75349678700.0,SLB N.V.,Oil & Gas Equipment & Services,NYSE
SLG,40.55,2880100245.0,SL Green Realty Corp.,REIT - Office,NYSE
SLGN,48.65,5205218791.0,Silgan Holdings Inc.,Packaging & Containers,NYSE
SNAP,4.83,8157637629.0,Snap Inc.,Internet Content & Information,NYSE
SNOW,182.29,62379638000.0,Snowflake Inc.,Software - Application,NYSE
SNPS,437.09,83623184620.0,"Synopsys, Inc.",Software - Infrastructure,NASDAQ
SO,94.95,104549904843.0,The Southern Company,Regulated Electric,NYSE
SPG,196.83,64257515460.0,"Simon Property Group, Inc.",REIT - Retail,NYSE
SPGI,409.54,124008718143.0,S&P Global Inc.,Financial - Data & Stock Exchanges,NYSE
SPY,681.75,695919520634.0,SPDR S&P 500 ETF Trust,Asset Management,AMEX
SRE,94.78,61861154560.0,Sempra,Diversified Utilities,NYSE
STT,127.97,35743612819.0,State Street Corporation,Asset Management,NYSE
STX,425.99,92896917270.0,Seagate Technology Holdings plc,Computer Hardware,NASDAQ
STZ,149.3,25992215388.0,"Constellation Brands, Inc.",Beverages - Wineries & Distilleries,NYSE
SWK,91.06,14103824822.0,"Stanley Black & Decker, Inc.",Manufacturing - Tools & Accessories,NYSE
SYF,71.38,25709014403.0,Synchrony Financial,Financial - Credit Services,NYSE
SYK,366.05,140083183261.0,Stryker Corporation,Medical - Devices,NYSE
SYY,90.56,43371959573.0,Sysco Corporation,Food Distribution,NYSE
T,28.69,203396317172.0,AT&T Inc.,Telecommunications Services,NYSE
TAP,53.22,10524564474.0,Molson Coors Beverage Company,Beverages - Alcoholic,NYSE
TAP-A,55.92,11277729749.0,Molson Coors Beverage Company,Beverages - Alcoholic,NYSE
TEAM,84.38,22198899578.0,Atlassian Corporation,Software - Application,NASDAQ
TECH,59.93,9376228290.0,Bio-Techne Corporation,Biotechnology,NASDAQ
TEL,236.19,69330149273.0,TE Connectivity Ltd.,"Hardware, Equipment & Parts",NYSE
TFC,51.9,66392887278.0,Truist Financial Corporation,Banks - Regional,NYSE
TJX,154.46,171904532454.0,"The TJX Companies, Inc.",Apparel - Retail,NYSE
TMO,504.82,189664942344.0,Thermo Fisher Scientific Inc.,Medical - Diagnostics & Research,NYSE
TMUS,219.5,245512208358.0,"T-Mobile US, Inc.",Telecommunications Services,NASDAQ
TOL,166.12,15781898194.0,"Toll Brothers, Inc.",Residential Construction,NYSE
TPR,153.8,31475134318.0,"Tapestry, Inc.",Luxury Goods,NYSE
TRGP,223.89,48059905894.0,Targa Resources Corp.,Oil & Gas Midstream,NYSE
TRMB,66.4,15797951877.0,Trimble Inc.,"Hardware, Equipment & Parts",NASDAQ
TROW,93.76,20495936000.0,"T. Rowe Price Group, Inc.",Asset Management,NASDAQ
TRV,294.21,65627488210.0,"The Travelers Companies, Inc.",Insurance - Property & Casualty,NYSE
TSCO,55.03,29078072120.0,Tractor Supply Company,Specialty Retail,NASDAQ
TSLA,417.44,1388330300800.0,"Tesla, Inc.",Auto - Manufacturers,NASDAQ
TSN,63.94,22778578835.0,"Tyson Foods, Inc.",Agricultural Farm Products,NYSE
TT,465.27,103168507787.0,Trane Technologies plc,Construction,NYSE
TTWO,193.67,35862842250.0,"Take-Two Interactive Software, Inc.",Electronic Gaming & Multimedia,NASDAQ
TWLO,113.0,17337997252.0,Twilio Inc.,Internet Content & Information,NYSE
TXN,226.16,205494176775.0,Texas Instruments Incorporated,Semiconductors,NASDAQ
TXT,98.09,17083593445.0,Textron Inc.,Aerospace & Defense,NYSE
UAA,7.19,3073006820.0,"Under Armour, Inc.",Apparel - Manufacturers,NYSE
UAL,109.29,35381324818.0,"United Airlines Holdings, Inc.","Airlines, Airports & Air Services",NASDAQ
UDR,38.09,12588211740.0,"UDR, Inc.",REIT - Residential,NYSE
UHS,234.81,15139191129.0,"Universal Health Services, Inc.",Medical - Care Facilities,NYSE
ULTA,683.4,30642537958.0,"Ulta Beauty, Inc.",Specialty Retail,NASDAQ
UNH,293.19,265582824998.0,UnitedHealth Group Incorporated,Medical - Healthcare Plans,NYSE
UNP,260.68,154685165880.0,Union Pacific Corporation,Railroads,NYSE
UPS,119.24,101161496798.0,"United Parcel Service, Inc.",Integrated Freight & Logistics,NYSE
URI,869.57,55330868666.0,"United Rentals, Inc.",Rental & Leasing Services,NYSE
USB,57.69,89675066700.0,U.S. Bancorp,Banks - Regional,NYSE
V,314.08,605558669088.0,Visa Inc.,Financial - Credit Services,NYSE
VEEV,174.11,28620524774.0,Veeva Systems Inc.,Medical - Healthcare Information Services,NYSE
VLO,200.17,62183157595.0,Valero Energy Corporation,Oil & Gas Refining & Marketing,NYSE
VMC,327.65,43292691023.0,Vulcan Materials Company,Construction Materials,NYSE
VNO,29.89,5699017710.0,Vornado Realty Trust,REIT - Office,NYSE
VRSK,181.21,25255781330.0,"Verisk Analytics, Inc.",Consulting Services,NASDAQ
VRTX,491.47,126008319636.0,Vertex Pharmaceuticals Incorporated,Biotechnology,NASDAQ
VTR,85.24,40486016600.0,"Ventas, Inc.",REIT - Healthcare Facilities,NYSE
VTRS,15.77,18163410881.0,Viatris Inc.,Drug Manufacturers - Specialty & Generic,NASDAQ
VZ,49.01,206647234300.0,Verizon Communications Inc.,Telecommunications Services,NYSE
WAB,256.06,43775297047.0,Westinghouse Air Brake Technologies Corporation,Railroads,NYSE
WAT,323.37,19255939749.0,Waters Corporation,Medical - Diagnostics & Research,NYSE
WDAY,144.42,38560141300.0,"Workday, Inc.",Software - Application,NASDAQ
WDC,281.58,95466320040.0,Western Digital Corporation,Computer Hardware,NASDAQ
WEC,115.79,37665792260.0,"WEC Energy Group, Inc.",Regulated Electric,NYSE
WELL,210.72,146767953776.0,Welltower Inc.,REIT - Healthcare Facilities,NYSE
WFC,86.98,273037590511.0,Wells Fargo & Company,Banks - Diversified,NYSE
WM,234.52,94590307360.0,"Waste Management, Inc.",Waste Management,NYSE
WMB,72.28,88269781600.0,"The Williams Companies, Inc.",Oil & Gas Midstream,NYSE
WMT,133.89,1067485036457.0,Walmart Inc.,Specialty Retail,NASDAQ
WRB,69.7,26487476176.0,W. R. Berkley Corporation,Insurance - Property & Casualty,NYSE
WTW,287.74,27550705617.0,Willis Towers Watson Public Limited Company,Insurance - Brokers,NASDAQ
WYNN,113.39,11789666174.0,"Wynn Resorts, Limited","Gambling, Resorts & Casinos",NASDAQ
XEL,81.59,48263730079.0,Xcel Energy Inc.,Regulated Electric,NASDAQ
XOM,148.38,625742990775.0,Exxon Mobil Corporation,Oil & Gas Integrated,NYSE
XRAY,12.95,2584197999.0,DENTSPLY SIRONA Inc.,Medical - Instruments & Supplies,NASDAQ
XYL,128.09,31185944210.0,Xylem Inc.,Industrial - Machinery,NYSE
YUM,160.57,44582715234.0,"Yum! Brands, Inc.",Restaurants,NYSE
ZBRA,264.62,13405712180.0,Zebra Technologies Corporation,Communication Equipment,NASDAQ
ZION,61.26,9044487660.0,"Zions Bancorporation, National Association",Banks - Regional,NASDAQ
ZM,92.6,27714195384.0,"Zoom Communications, Inc.",Software - Application,NASDAQ
ZS,177.72,28341186120.0,"Zscaler, Inc.",Software - Infrastructure,NASDAQ
ZTS,126.65,55813795806.0,Zoetis Inc.,Drug Manufacturers - Specialty & Generic,NYSE
