date,value,cash,stocks_value
2015-01-02,99910.00000000001,9910.000000000018,90000.0
2015-01-05,98216.93262941597,9910.000000000018,88306.93262941595
2015-01-06,96954.48633990176,9910.000000000018,87044.48633990175
2015-01-07,97780.31865108582,9910.000000000018,87870.3186510858
2015-01-08,99433.47041837838,9910.000000000018,89523.47041837836
2015-01-09,98786.61832002932,9910.000000000018,88876.6183200293
2015-01-12,97076.25439563226,9910.000000000018,87166.25439563225
2015-01-13,96936.40373197153,9910.000000000018,87026.40373197151
2015-01-14,96369.68188031112,9910.000000000018,86459.68188031111
2015-01-15,95001.65984518193,9910.000000000018,85091.65984518192
2015-01-16,96966.2036258205,9910.000000000018,87056.20362582049
2015-01-20,97483.26452617299,9910.000000000018,87573.26452617298
2015-01-21,99117.20337079733,9910.000000000018,89207.20337079732
2015-01-22,101096.08345441573,9910.000000000018,91186.08345441571
2015-01-23,101425.23546215578,9910.000000000018,91515.23546215576
2015-01-26,101825.92738888427,9910.000000000018,91915.92738888426
2015-01-27,100219.26003663716,9910.000000000018,90309.26003663715
2015-01-28,97979.25944582661,9910.000000000018,88069.2594458266
2015-01-29,99745.29795962856,9910.000000000018,89835.29795962854
2015-01-30,102567.99288805432,9910.000000000018,92657.9928880543
2015-02-02,105172.31367301501,9910.000000000018,95262.313673015
2015-02-03,107114.91663879153,9910.000000000018,97204.91663879152
2015-02-04,106004.45104793168,9910.000000000018,96094.45104793167
2015-02-05,107862.48456441383,9910.000000000018,97952.48456441381
2015-02-06,107320.57192351464,9910.000000000018,97410.57192351462
2015-02-09,106932.7054760276,10606.577032003137,96326.12844402446
2015-02-10,110513.03324714414,10606.577032003137,99906.45621514099
2015-02-11,110522.37037193592,10606.577032003137,99915.79333993277
2015-02-12,112102.14917253418,10606.577032003137,101495.57214053105
2015-02-13,112851.33707439591,10606.577032003137,102244.76004239277
2015-02-17,113818.9498642043,10606.577032003137,103212.37283220117
2015-02-18,113247.73417926443,10606.577032003137,102641.1571472613
