ticker,start_date,end_date,days_held,start_value,end_value
TAP-A,2015-01-02,2015-01-02,0,100000.0,100000.0
AMD,2015-01-02,2015-01-02,0,100000.0,100000.0
TAP-A,2015-01-02,2015-01-02,0,100000.0,100000.0
AMD,2015-01-02,2015-01-02,0,100000.0,100000.0
VIX,2015-02-09,2015-02-09,0,97087.0,97087.0
PODD,2015-02-09,2015-02-09,0,97087.0,97087.0
VIX,2015-02-09,2015-02-09,0,97087.0,97087.0
PODD,2015-02-09,2015-02-09,0,97087.0,97087.0
VIX,2015-02-09,2015-03-09,28,97087.0,96587.0
VIX,2015-03-09,2015-03-09,0,96587.0,96587.0
AMCR,2015-03-09,2015-03-09,0,96587.0,96587.0
VIX,2015-03-09,2015-03-09,0,96587.0,96587.0
AMCR,2015-03-09,2015-03-09,0,96587.0,96587.0
VIX,2015-03-09,2015-04-07,29,96587.0,94382.0
AMCR,2015-03-09,2015-04-07,29,96587.0,94382.0
VIX,2015-04-07,2015-04-07,0,94382.0,94382.0
AMCR,2015-04-07,2015-04-07,0,94382.0,94382.0
VIX,2015-04-07,2015-04-07,0,94382.0,94382.0
AMCR,2015-04-07,2015-04-07,0,94382.0,94382.0
VIX,2015-04-07,2015-05-07,30,94382.0,92328.0
AMCR,2015-04-07,2015-05-07,30,94382.0,92328.0
VIX,2015-05-07,2015-05-07,0,92328.0,92328.0
AMCR,2015-05-07,2015-05-07,0,92328.0,92328.0
VIX,2015-05-07,2015-05-07,0,92328.0,92328.0
AMCR,2015-05-07,2015-05-07,0,92328.0,92328.0
VIX,2015-05-07,2015-06-08,32,92328.0,85232.0
AMCR,2015-05-07,2015-06-08,32,92328.0,85232.0
VIX,2015-06-08,2015-06-08,0,85232.0,85232.0
AMCR,2015-06-08,2015-06-08,0,85232.0,85232.0
VIX,2015-06-08,2015-06-08,0,85232.0,85232.0
AMCR,2015-06-08,2015-06-08,0,85232.0,85232.0
VIX,2015-06-08,2015-07-07,29,85232.0,84481.0
AMCR,2015-06-08,2015-07-07,29,85232.0,84481.0
VIX,2015-07-07,2015-07-07,0,84481.0,84481.0
AMCR,2015-07-07,2015-07-07,0,84481.0,84481.0
VIX,2015-07-07,2015-07-07,0,84481.0,84481.0
AMCR,2015-07-07,2015-07-07,0,84481.0,84481.0
AMCR,2015-07-07,2015-08-07,31,84481.0,95181.0
AMCR,2015-08-07,2015-08-07,0,95181.0,95181.0
FCX,2015-08-07,2015-08-07,0,95181.0,95181.0
AMCR,2015-08-07,2015-08-07,0,95181.0,95181.0
FCX,2015-08-07,2015-08-07,0,95181.0,95181.0
TAP-A,2015-09-08,2015-09-08,0,90512.0,90512.0
MRO,2015-09-08,2015-09-08,0,90512.0,90512.0
TAP-A,2015-09-08,2015-09-08,0,90512.0,90512.0
MRO,2015-09-08,2015-09-08,0,90512.0,90512.0
AMCR,2015-10-07,2015-10-07,0,100239.0,100239.0
FCX,2015-10-07,2015-10-07,0,100239.0,100239.0
AMCR,2015-10-07,2015-10-07,0,100239.0,100239.0
FCX,2015-10-07,2015-10-07,0,100239.0,100239.0
VIX,2015-11-09,2015-11-09,0,91552.0,91552.0
BLDR,2015-11-09,2015-11-09,0,91552.0,91552.0
VIX,2015-11-09,2015-11-09,0,91552.0,91552.0
BLDR,2015-11-09,2015-11-09,0,91552.0,91552.0
VIX,2015-11-09,2015-12-07,28,91552.0,70286.0
VIX,2015-12-07,2015-12-07,0,70286.0,70286.0
AMCR,2015-12-07,2015-12-07,0,70286.0,70286.0
VIX,2015-12-07,2015-12-07,0,70286.0,70286.0
AMCR,2015-12-07,2015-12-07,0,70286.0,70286.0
WMB,2016-01-07,2016-01-07,0,72341.0,72341.0
TRGP,2016-01-07,2016-01-07,0,72341.0,72341.0
WMB,2016-01-07,2016-01-07,0,72341.0,72341.0
TRGP,2016-01-07,2016-01-07,0,72341.0,72341.0
BLDR,2016-02-08,2016-02-08,0,64370.0,64370.0
AMCR,2016-02-08,2016-02-08,0,64370.0,64370.0
BLDR,2016-02-08,2016-02-08,0,64370.0,64370.0
AMCR,2016-02-08,2016-02-08,0,64370.0,64370.0
EXAS,2016-03-07,2016-03-07,0,73866.0,73866.0
MRO,2016-03-07,2016-03-07,0,73866.0,73866.0
EXAS,2016-03-07,2016-03-07,0,73866.0,73866.0
MRO,2016-03-07,2016-03-07,0,73866.0,73866.0
VIX,2016-04-07,2016-04-07,0,77987.0,77987.0
CF,2016-04-07,2016-04-07,0,77987.0,77987.0
VIX,2016-04-07,2016-04-07,0,77987.0,77987.0
CF,2016-04-07,2016-04-07,0,77987.0,77987.0
VIX,2016-04-07,2016-05-09,32,77987.0,76027.0
VIX,2016-05-09,2016-05-09,0,76027.0,76027.0
