date,event_type,description,portfolio_value,vix_level,holdings,return_pct,cash_pct,year,month,year_month
2015-01-02,PORTFOLIO_SNAPSHOT,"Holdings: CPRI 2, CPRI, VIX 2",100000.0,17.4,"CPRI 2, CPRI, VIX 2",0.0,10.0,2015,1,2015-01
2015-02-09,PORTFOLIO_SNAPSHOT,"Holdings: CPRI 2, CPRI, VIX 2",100714.0,18.1,"CPRI 2, CPRI, VIX 2",0.7,10.0,2015,2,2015-02
2015-03-09,PORTFOLIO_SNAPSHOT,"Holdings: CPRI 2, CPRI, VIX 2",92230.0,15.2,"CPRI 2, CPRI, VIX 2",-7.8,10.0,2015,3,2015-03
2015-06-01,MODEL_RETRAIN,Models retrained with 6 months of new data,,,,,,2015,6,2015-06
2015-11-02,MODEL_RETRAIN,Models retrained with 6 months of new data,,,,,,2015,11,2015-11
2016-05-02,MODEL_RETRAIN,Models retrained with 6 months of new data,,,,,,2016,5,2016-05
2016-07-07,PORTFOLIO_SNAPSHOT,"Holdings: VIX 2, VIX, DXCM",145741.0,19.7,"VIX 2, VIX, DXCM",45.7,10.0,2016,7,2016-07
2016-11-01,MODEL_RETRAIN,Models retrained with 6 months of new data,,,,,,2016,11,2016-11
2017-04-03,MODEL_RETRAIN,Models retrained with 6 months of new data,,,,,,2017,4,2017-04
2017-10-02,MODEL_RETRAIN,Models retrained with 6 months of new data,,,,,,2017,10,2017-10
2018-02-07,PORTFOLIO_SNAPSHOT,"Holdings: DLTR 2, DLTR, DXCM",203705.0,23.0,"DLTR 2, DLTR, DXCM",103.7,20.0,2018,2,2018-02
2018-04-02,MODEL_RETRAIN,Models retrained with 6 months of new data,,,,,,2018,4,2018-04
2018-10-01,MODEL_RETRAIN,Models retrained with 6 months of new data,,,,,,2018,10,2018-10
2019-03-01,MODEL_RETRAIN,Models retrained with 6 months of new data,,,,,,2019,3,2019-03
2019-08-01,MODEL_RETRAIN,Models retrained with 6 months of new data,,,,,,2019,8,2019-08
2020-01-02,MODEL_RETRAIN,Models retrained with 6 months of new data,,,,,,2020,1,2020-01
2020-07-01,MODEL_RETRAIN,Models retrained with 6 months of new data,,,,,,2020,7,2020-07
2020-12-01,MODEL_RETRAIN,Models retrained with 6 months of new data,,,,,,2020,12,2020-12
2021-05-03,MODEL_RETRAIN,Models retrained with 6 months of new data,,,,,,2021,5,2021-05
2021-11-01,MODEL_RETRAIN,Models retrained with 6 months of new data,,,,,,2021,11,2021-11
2022-04-01,MODEL_RETRAIN,Models retrained with 6 months of new data,,,,,,2022,4,2022-04
2022-09-01,MODEL_RETRAIN,Models retrained with 6 months of new data,,,,,,2022,9,2022-09
2023-02-01,MODEL_RETRAIN,Models retrained with 6 months of new data,,,,,,2023,2,2023-02
2023-04-10,PORTFOLIO_SNAPSHOT,"Holdings: VIX 2, VIX, XRAY",1207878.0,22.9,"VIX 2, VIX, XRAY",1107.9,20.0,2023,4,2023-04
2023-05-08,PORTFOLIO_SNAPSHOT,"Holdings: VIX 2, VIX, XRAY",1139778.0,17.6,"VIX 2, VIX, XRAY",1039.8,10.0,2023,5,2023-05
2023-07-03,MODEL_RETRAIN,Models retrained with 6 months of new data,,,,,,2023,7,2023-07
2024-01-02,MODEL_RETRAIN,Models retrained with 6 months of new data,,,,,,2024,1,2024-01
2024-07-01,MODEL_RETRAIN,Models retrained with 6 months of new data,,,,,,2024,7,2024-07
