date,v30_value,v31_value,premium,cumulative_premium
2015-01-02,99853.1152611327,99853.1152611327,0.0,0.0
2015-01-05,98142.47774675842,98142.47774675842,0.0,0.0
2015-01-06,96734.90934946628,96734.90934946628,0.0,0.0
2015-01-07,97391.42147075148,97391.42147075148,0.0,0.0
2015-01-08,99075.84688612643,99075.84688612643,0.0,0.0
2015-01-09,98182.31893240371,98182.31893240371,0.0,0.0
2015-01-12,97145.68246881483,97145.68246881483,0.0,0.0
2015-01-13,96892.71810649887,96892.71810649887,0.0,0.0
2015-01-14,96440.37690818046,96440.37690818046,0.0,0.0
2015-01-15,94611.6842686456,94611.6842686456,0.0,0.0
2015-01-16,95710.29890622865,95710.29890622865,0.0,0.0
2015-01-20,95611.88324262401,95611.88324262401,0.0,0.0
2015-01-21,96356.7437100255,96356.7437100255,0.0,0.0
2015-01-22,97917.25612730345,97917.25612730345,0.0,0.0
2015-01-23,98022.39071390082,98022.39071390082,0.0,0.0
2015-01-26,97938.57772206137,97938.57772206137,0.0,0.0
2015-01-27,96687.12930619287,96687.12930619287,0.0,0.0
2015-01-28,96169.63102322065,96169.63102322065,0.0,0.0
2015-01-29,97017.23233119634,97017.23233119634,0.0,0.0
2015-01-30,96802.79874869515,96802.79874869515,0.0,0.0
2015-02-02,96556.22201361907,96556.22201361907,0.0,0.0
2015-02-03,96990.24653591528,96990.24653591528,0.0,0.0
2015-02-04,97001.66250054601,97001.66250054601,0.0,0.0
2015-02-05,97499.77652251597,97499.77652251597,0.0,0.0
2015-02-06,97565.24081786847,97565.24081786847,0.0,0.0
2015-02-09,96880.16790866015,96880.16790866015,0.0,0.0
2015-02-10,97966.13493790517,97966.13493790517,0.0,0.0
2015-02-11,98059.25916975588,98059.25916975588,0.0,0.0
2015-02-12,98714.83443636322,98714.83443636322,0.0,0.0
2015-02-13,98861.73544119652,98861.73544119652,0.0,0.0
2015-02-17,98720.99544182511,98720.99544182511,0.0,0.0
2015-02-18,99034.85135918943,99034.85135918943,0.0,0.0
2015-02-19,99798.59803967483,99798.59803967483,0.0,0.0
2015-02-20,100150.6253571025,100150.6253571025,0.0,0.0
2015-02-23,99621.45449475652,99621.45449475652,0.0,0.0
2015-02-24,99900.42266692386,99900.42266692386,0.0,0.0
