date,v30_value,v31_value,cumulative_premium,v30_drawdown,v31_drawdown
2015-01-02,99853.1152611327,99853.1152611327,0.0,0.0,0.0
2015-01-05,98142.47774675842,98142.47774675842,0.0,-1.713153875971396,-1.713153875971396
2015-01-06,96734.90934946628,96734.90934946628,0.0,-3.122792817742126,-3.122792817742126
2015-01-07,97391.42147075148,97391.42147075148,0.0,-2.46531496182516,-2.46531496182516
2015-01-08,99075.84688612643,99075.84688612643,0.0,-0.7784117430623794,-0.7784117430623794
2015-01-09,98182.31893240371,98182.31893240371,0.0,-1.6732540836203014,-1.6732540836203014
2015-01-12,97145.68246881483,97145.68246881483,0.0,-2.7114154478179997,-2.7114154478179997
2015-01-13,96892.71810649887,96892.71810649887,0.0,-2.964751922753628,-2.964751922753628
2015-01-14,96440.37690818046,96440.37690818046,0.0,-3.417758518627434,-3.417758518627434
2015-01-15,94611.6842686456,94611.6842686456,0.0,-5.24914117980183,-5.24914117980183
2015-01-16,95710.29890622865,95710.29890622865,0.0,-4.148910471215528,-4.148910471215528
2015-01-20,95611.88324262401,95611.88324262401,0.0,-4.247470905056039,-4.247470905056039
2015-01-21,96356.7437100255,96356.7437100255,0.0,-3.50151474189222,-3.50151474189222
2015-01-22,97917.25612730345,97917.25612730345,0.0,-1.9387067982472583,-1.9387067982472583
2015-01-23,98022.39071390082,98022.39071390082,0.0,-1.8334175578240353,-1.8334175578240353
2015-01-26,97938.57772206137,97938.57772206137,0.0,-1.917353839251279,-1.917353839251279
2015-01-27,96687.12930619287,96687.12930619287,0.0,-3.170643145845009,-3.170643145845009
2015-01-28,96169.63102322065,96169.63102322065,0.0,-3.688902672970318,-3.688902672970318
2015-01-29,97017.23233119634,97017.23233119634,0.0,-2.8400545366261687,-2.8400545366261687
2015-01-30,96802.79874869515,96802.79874869515,0.0,-3.0548035526587802,-3.0548035526587802
2015-02-02,96556.22201361907,96556.22201361907,0.0,-3.3017430041032747,-3.3017430041032747
2015-02-03,96990.24653591528,96990.24653591528,0.0,-2.8670800282299957,-2.8670800282299957
2015-02-04,97001.66250054601,97001.66250054601,0.0,-2.8556472706231184,-2.8556472706231184
2015-02-05,97499.77652251597,97499.77652251597,0.0,-2.356800518904545,-2.356800518904545
2015-02-06,97565.24081786847,97565.24081786847,0.0,-2.291239925044952,-2.291239925044952
2015-02-09,96880.16790866015,96880.16790866015,0.0,-2.977320582034715,-2.977320582034715
2015-02-10,97966.13493790517,97966.13493790517,0.0,-1.8897560865204444,-1.8897560865204444
2015-02-11,98059.25916975588,98059.25916975588,0.0,-1.7964948681726933,-1.7964948681726933
2015-02-12,98714.83443636322,98714.83443636322,0.0,-1.1399552450543804,-1.1399552450543804
2015-02-13,98861.73544119652,98861.73544119652,0.0,-0.9928381476567383,-0.9928381476567383
2015-02-17,98720.99544182511,98720.99544182511,0.0,-1.1337851767037055,-1.1337851767037055
2015-02-18,99034.85135918943,99034.85135918943,0.0,-0.8194675747505431,-0.8194675747505431
2015-02-19,99798.59803967483,99798.59803967483,0.0,-0.0545974167308616,-0.0545974167308616
2015-02-20,100150.6253571025,100150.6253571025,0.0,0.0,0.0
2015-02-23,99621.45449475652,99621.45449475652,0.0,-0.5283749956219941,-0.5283749956219941
2015-02-24,99900.42266692386,99900.42266692386,0.0,-0.24982638828914272,-0.24982638828914272
2015-02-25,100350.11904520134,100350.11904520134,0.0,0.0,0.0
2015-02-26,101017.87069764169,101017.87069764169,0.0,0.0,0.0
2015-02-27,100633.9556009983,100633.9556009983,0.0,-0.38004671251929967,-0.38004671251929967
2015-03-02,101827.57580986705,101827.57580986705,0.0,0.0,0.0
2015-03-03,101665.17968290024,101665.17968290024,0.0,-0.1594814819809054,-0.1594814819809054
2015-03-04,101795.7936370885,101795.7936370885,0.0,-0.031211754307003403,-0.031211754307003403
2015-03-05,102277.85329983168,102277.85329983168,0.0,0.0,0.0
2015-03-06,101267.49508463862,101267.49508463862,0.0,-0.9878562979134475,-0.9878562979134475
2015-03-09,101276.48391249466,101276.48391249466,0.0,-0.9790676622840944,-0.9790676622840944
2015-03-10,99744.64951233362,99744.64951233362,0.0,-2.4767862306142363,-2.4767862306142363
2015-03-11,99560.74385063577,99560.74385063577,0.0,-2.6565960875523986,-2.6565960875523986
2015-03-12,100736.97729073741,100736.97729073741,0.0,-1.5065588095373172,-1.5065588095373172
2015-03-13,100021.86211712618,100021.86211712618,0.0,-2.205747490702581,-2.205747490702581
2015-03-16,100775.49974958484,100775.49974958484,0.0,-1.468894293119971,-1.468894293119971
2015-03-17,100679.14798686834,100679.14798686834,0.0,-1.5631001838459335,-1.5631001838459335
2015-03-18,101255.55546761681,101255.55546761681,0.0,-0.9995300050128719,-0.9995300050128719
2015-03-19,101744.49286752183,101744.49286752183,0.0,-0.5214818409869149,-0.5214818409869149
2015-03-20,102494.48512076875,102494.48512076875,0.0,0.0,0.0
2015-03-23,102597.45927879662,102597.45927879662,0.0,0.0,0.0
2015-03-24,103260.54412594026,103260.54412594026,0.0,0.0,0.0
2015-03-25,101700.12058123155,101700.12058123155,0.0,-1.5111517742978031,-1.5111517742978031
2015-03-26,101206.16266483295,101206.16266483295,0.0,-1.9895125272647252,-1.9895125272647252
2015-03-27,101326.0501077807,101326.0501077807,0.0,-1.8734106376586457,-1.8734106376586457
2015-03-30,101799.7555143825,101799.7555143825,0.0,-1.4146629033603864,-1.4146629033603864
2015-03-31,101213.39764720762,101213.39764720762,0.0,-1.982505995935746,-1.982505995935746
2015-04-01,100927.61361777704,100927.61361777704,0.0,-2.259266138785687,-2.259266138785687
2015-04-02,100588.0337616528,100588.0337616528,0.0,-2.588123456940117,-2.588123456940117
2015-04-06,101102.76499660507,102113.79264657112,1011.0276499660507,-2.089645321550393,-1.110541774765894
2015-04-07,100681.74950296133,101692.77715292739,1011.0276499660507,-2.497366874063467,-1.518263327278968
2015-04-08,101313.77428493214,102324.80193489819,1011.0276499660507,-1.8852988404106874,-0.9061952936261886
2015-04-09,101301.2610810196,102312.28873098566,1011.0276499660507,-1.8974169287070963,-0.9183133819225975
2015-04-10,101316.99936370587,102328.02701367192,1011.0276499660507,-1.882175596386526,-0.9030720496020272
2015-04-13,101411.42745391268,102422.45510387873,1011.0276499660507,-1.7907291576658046,-0.8116256108813058
2015-04-14,101334.36549015886,102345.39314012491,1011.0276499660507,-1.8653578209235078,-0.8862542741390089
2015-04-15,100760.72895689923,101771.75660686528,1011.0276499660507,-2.420881267090913,-1.4417777203064142
2015-04-16,100776.1011028325,101787.12875279856,1011.0276499660507,-2.405994510427567,-1.4268909636430682
2015-04-17,99770.98691727892,100782.01456724497,1011.0276499660507,-3.3793713157325156,-2.4002677689480167
2015-04-20,101173.39560335893,102184.42325332499,1011.0276499660507,-2.0212449394376275,-1.0421413926531287
2015-04-21,101778.85261118424,102789.88026115029,1011.0276499660507,-1.4349057786765984,-0.45580223189209956
2015-04-22,103558.74970478582,104569.77735475187,1011.0276499660507,0.0,0.0
2015-04-23,103522.709558962,104533.73720892805,1011.0276499660507,-0.034801642474979744,-0.03446516453942117
2015-04-24,103712.89679010457,104723.92444007062,1011.0276499660507,0.0,0.0
2015-04-27,105004.35193027953,106015.37958024559,1011.0276499660507,0.0,0.0
2015-04-28,103790.55964900233,104801.58729896838,1011.0276499660507,-1.1559447384458243,-1.1449209407946803
2015-04-29,102445.8940585375,103456.92170850355,1011.0276499660507,-2.4365255579509637,-2.413289356574422
