date,value,cash,equity_exposure,drawdown
2015-01-02,100000.0,100000.0,1.0,0.0
2015-01-05,100000.0,100000.0,1.0,0.0
2015-01-06,100000.0,100000.0,1.0,0.0
2015-01-07,100000.0,100000.0,1.0,0.0
2015-01-08,100000.0,100000.0,1.0,0.0
2015-01-09,100000.0,100000.0,1.0,0.0
2015-01-12,100000.0,100000.0,1.0,0.0
2015-01-13,100000.0,100000.0,1.0,0.0
2015-01-14,100000.0,100000.0,1.0,0.0
2015-01-15,100000.0,100000.0,1.0,0.0
2015-01-16,100000.0,100000.0,1.0,0.0
2015-01-20,100000.0,100000.0,1.0,0.0
2015-01-21,100000.0,100000.0,1.0,0.0
2015-01-22,100000.0,100000.0,1.0,0.0
2015-01-23,100000.0,100000.0,1.0,0.0
2015-01-26,100000.0,100000.0,1.0,0.0
2015-01-27,100000.0,100000.0,1.0,0.0
2015-01-28,100000.0,100000.0,1.0,0.0
2015-01-29,100000.0,100000.0,1.0,0.0
2015-01-30,100000.0,100000.0,1.0,0.0
2015-02-02,100000.0,100000.0,1.0,0.0
2015-02-03,100000.0,100000.0,1.0,0.0
2015-02-04,100000.0,100000.0,1.0,0.0
2015-02-05,100000.0,100000.0,1.0,0.0
2015-02-06,100000.0,100000.0,1.0,0.0
2015-02-09,100000.0,100000.0,1.0,0.0
2015-02-10,99700.0,1.0913936421275139e-11,1.0,0.0
2015-02-11,99775.85523037784,1.0913936421275139e-11,1.0,-0.22414476962215849
2015-02-12,102487.48134872557,1.0913936421275139e-11,1.0,0.0
2015-02-13,103737.03503021938,1.0913936421275139e-11,1.0,0.0
2015-02-17,104437.16558515608,1.0913936421275139e-11,1.0,0.0
2015-02-18,104904.16513053444,1.0913936421275139e-11,1.0,0.0
2015-02-19,105633.71448177213,1.0913936421275139e-11,1.0,0.0
2015-02-20,106412.36849688395,1.0913936421275139e-11,1.0,0.0
2015-02-23,105282.9688503945,1.0913936421275139e-11,1.0,-1.0613424571247245
2015-02-24,106887.72676486967,1.0913936421275139e-11,1.0,0.0
2015-02-25,107317.32892603676,1.0913936421275139e-11,1.0,0.0
2015-02-26,107531.21031695431,1.0913936421275139e-11,1.0,0.0
2015-02-27,106956.65184344343,1.0913936421275139e-11,1.0,-0.5343178708928714
2015-03-02,107614.29330313292,1.0913936421275139e-11,1.0,0.0
2015-03-03,106458.49839167362,1.0913936421275139e-11,1.0,-1.074016170141633
2015-03-04,106769.75148915652,1.0913936421275139e-11,1.0,-0.7847859127759627
2015-03-05,106776.31715980663,1.0913936421275139e-11,1.0,-0.7786847988360062
2015-03-06,104589.38467198964,1.0913936421275139e-11,1.0,-2.810879984708513
2015-03-09,104615.98185613961,1.0913936421275139e-11,1.0,-2.786164695192974
2015-03-10,102441.47640571659,1.0913936421275139e-11,1.0,-4.233072460894313
2015-03-11,102466.94434375138,1.0913936421275139e-11,1.0,-4.783146180110333
