date,value,cash
2015-01-02,99999.99999999999,9999.999999999998
2015-01-05,98560.6936642541,9999.999999999998
2015-01-06,98514.32199842432,9999.999999999998
2015-01-07,99537.36199556125,9999.999999999998
2015-01-08,101466.67429283852,9999.999999999998
2015-01-09,101155.94616491602,9999.999999999998
2015-01-12,98799.92143798857,9999.999999999998
2015-01-13,97691.60661364351,9999.999999999998
2015-01-14,96609.36506200745,9999.999999999998
2015-01-15,94824.87721766334,9999.999999999998
2015-01-16,96150.91224811501,9999.999999999998
2015-01-20,97381.9629322381,9999.999999999998
2015-01-21,98189.76941247509,9999.999999999998
2015-01-22,99890.06350225401,9999.999999999998
2015-01-23,100019.45965698198,9999.999999999998
2015-01-26,101236.8937720366,9999.999999999998
2015-01-27,99918.05335430177,9999.999999999998
2015-01-28,98822.9633710861,9999.999999999998
2015-01-29,100242.28802327714,9999.999999999998
2015-01-30,99545.65444278662,9999.999999999998
2015-02-02,101562.58805986657,9999.999999999998
2015-02-03,103422.99261754828,9999.999999999998
2015-02-04,101424.79817957537,9999.999999999998
2015-02-05,102635.62471016147,9999.999999999998
2015-02-06,101361.43551962334,9999.999999999998
2015-02-09,101613.7546006352,10161.3754600635
2015-02-10,101601.07638207289,10161.3754600635
2015-02-11,102162.9127585711,10161.3754600635
2015-02-12,103296.09377152698,10161.3754600635
2015-02-13,104306.86970226222,10161.3754600635
2015-02-17,105283.07319668581,10161.3754600635
2015-02-18,105845.05070137567,10161.3754600635
2015-02-19,106269.09021655748,10161.3754600635
2015-02-20,106917.30227525205,10161.3754600635
2015-02-23,106630.31649989329,10161.3754600635
2015-02-24,106914.41081095008,10161.3754600635
2015-02-25,107354.57751198576,10161.3754600635
2015-02-26,107209.91422160948,10161.3754600635
2015-02-27,106903.79891410233,10161.3754600635
2015-03-02,106922.64523527626,10161.3754600635
2015-03-03,106033.0662342403,10161.3754600635
2015-03-04,106169.40900311411,10161.3754600635
2015-03-05,105819.2805332292,10161.3754600635
2015-03-06,103975.00535675295,10161.3754600635
2015-03-09,104183.6266653321,10418.362666533229
2015-03-10,102627.45580291009,10418.362666533229
2015-03-11,103405.39793732305,10418.362666533229
2015-03-12,102639.48483827629,10418.362666533229
2015-03-13,102011.70637442742,10418.362666533229
2015-03-16,102840.4941200368,10418.362666533229
2015-03-17,103121.56873294967,10418.362666533229
2015-03-18,104647.2836181157,10418.362666533229
2015-03-19,102764.1124584887,10418.362666533229
2015-03-20,104479.47242195896,10418.362666533229
2015-03-23,105144.06313670978,10418.362666533229
2015-03-24,105147.67789678628,10418.362666533229
2015-03-25,103226.83440715994,10418.362666533229
2015-03-26,102960.76123149657,10418.362666533229
2015-03-27,101567.49871710653,10418.362666533229
2015-03-30,102900.73474983839,10418.362666533229
2015-03-31,101796.13708842373,10418.362666533229
2015-04-01,101732.91677331852,10418.362666533229
2015-04-02,102101.62184834987,10418.362666533229
2015-04-06,104198.78952397336,10418.362666533229
2015-04-07,104016.25158853202,5200.812579426587
2015-04-08,104024.31840508073,5200.812579426587
2015-04-09,103832.53365301598,5200.812579426587
2015-04-10,104036.73777700325,5200.812579426587
2015-04-13,104122.86719850583,5200.812579426587
2015-04-14,104090.51413583582,5200.812579426587
2015-04-15,107147.09613529145,5200.812579426587
2015-04-16,106876.359886332,5200.812579426587
2015-04-17,105543.22620139539,5200.812579426587
2015-04-20,106964.68802243858,5200.812579426587
2015-04-21,106367.88302225119,5200.812579426587
2015-04-22,107382.11134754396,5200.812579426587
2015-04-23,107250.24119745917,5200.812579426587
2015-04-24,110892.70515347701,5200.812579426587
2015-04-27,111354.29952391615,5200.812579426587
2015-04-28,113213.3010090765,5200.812579426587
2015-04-29,112887.38879283328,5200.812579426587
2015-04-30,111998.94099901464,5200.812579426587
2015-05-01,113215.1123756186,5200.812579426587
2015-05-04,112835.53218538947,5200.812579426587
2015-05-05,111439.61143056044,5200.812579426587
2015-05-06,109922.45704672867,5200.812579426587
2015-05-07,110509.06742112155,11050.906742112144
2015-05-08,111481.30108914468,11050.906742112144
2015-05-11,111498.04044137638,11050.906742112144
