date,value,cash,equity_exposure,drawdown
2015-01-02,100000.0,100000.0,1.0,0.0
2015-01-05,100000.0,100000.0,1.0,0.0
2015-01-06,100000.0,100000.0,1.0,0.0
2015-01-07,100000.0,100000.0,1.0,0.0
2015-01-08,100000.0,100000.0,1.0,0.0
2015-01-09,100000.0,100000.0,1.0,0.0
2015-01-12,100000.0,100000.0,1.0,0.0
2015-01-13,100000.0,100000.0,1.0,0.0
2015-01-14,100000.0,100000.0,1.0,0.0
2015-01-15,100000.0,100000.0,1.0,0.0
2015-01-16,100000.0,100000.0,1.0,0.0
2015-01-20,100000.0,100000.0,1.0,0.0
2015-01-21,100000.0,100000.0,1.0,0.0
2015-01-22,100000.0,100000.0,1.0,0.0
2015-01-23,100000.0,100000.0,1.0,0.0
2015-01-26,100000.0,100000.0,1.0,0.0
2015-01-27,100000.0,100000.0,1.0,0.0
2015-01-28,100000.0,100000.0,1.0,0.0
2015-01-29,100000.0,100000.0,1.0,0.0
2015-01-30,100000.0,100000.0,1.0,0.0
2015-02-02,100000.0,100000.0,1.0,0.0
2015-02-03,100000.0,100000.0,1.0,0.0
2015-02-04,100000.0,100000.0,1.0,0.0
2015-02-05,100000.0,100000.0,1.0,0.0
2015-02-06,100000.0,100000.0,1.0,0.0
2015-02-09,100000.0,100000.0,1.0,0.0
2015-02-10,99700.0,7.275957614183426e-12,1.0,0.0
2015-02-11,101018.12992653337,7.275957614183426e-12,1.0,0.0
2015-02-12,101270.4328823073,7.275957614183426e-12,1.0,0.0
2015-02-13,102517.73767304557,7.275957614183426e-12,1.0,0.0
2015-02-17,104210.8974708239,7.275957614183426e-12,1.0,0.0
2015-02-18,104649.5735117992,7.275957614183426e-12,1.0,0.0
2015-02-19,104305.47882795442,7.275957614183426e-12,1.0,-0.3288065801873419
2015-02-20,104424.16108812438,7.275957614183426e-12,1.0,-0.2153973648534768
2015-02-23,104587.52261331257,7.275957614183426e-12,1.0,-0.05929398124076989
2015-02-24,104764.11783938759,7.275957614183426e-12,1.0,0.0
2015-02-25,104890.53255236383,7.275957614183426e-12,1.0,0.0
2015-02-26,104342.57618331058,7.275957614183426e-12,1.0,-0.5224078434149426
2015-02-27,103914.69437839571,7.275957614183426e-12,1.0,-0.9303396123772747
2015-03-02,104539.60149279478,7.275957614183426e-12,1.0,-0.33456886053453355
2015-03-03,103527.6248661674,7.275957614183426e-12,1.0,-1.299361966263287
2015-03-04,103923.74959653354,7.275957614183426e-12,1.0,-0.9217065947755105
2015-03-05,103791.4052051797,7.275957614183426e-12,1.0,-1.0478804144076745
2015-03-06,102074.13008555838,7.275957614183426e-12,1.0,-2.6850873937544684
2015-03-09,101939.56745461136,7.275957614183426e-12,1.0,-2.8133760273161745
2015-03-10,98991.06347891924,3.637978807091713e-12,1.0,-5.055593744782237
2015-03-11,100621.6378039954,3.637978807091713e-12,1.0,-4.069857063827279
