date,ticker,action,reason,shares,price,value,cost
2006-01-03,GOOGL,BUY,rebalance_megacap,1730.9909742362283,10.891641616821289,18853.333333333332,36.22393031692964
2006-01-03,AIG,BUY,rebalance_megacap,20.525225989134164,918.5444946289062,18853.333333333332,28.631112946306118
2006-01-03,MSFT,BUY,rebalance_megacap,971.0933286386138,19.41454315185547,18853.333333333332,33.56438846486601
2006-01-03,MCO,BUY,rebalance_momentum,235.01219151733133,51.57179260253906,12120.000000000002,19.004615604461286
2006-01-03,MRO,BUY,rebalance_momentum,863.8034525382366,14.030969619750977,12120.000000000002,22.4179100070198
2006-01-20,GOOGL,SELL,trailing_stop,1730.9909742362283,9.996496200561523,17303.844697158747,36.3403754565468
2006-04-07,AIG,SELL,rebalance,20.525225989134164,851.3336791992188,17473.81615772501,26.56151076444058
2006-04-07,MSFT,SELL,rebalance,971.0933286386138,19.77791976928711,19206.205942304463,34.129012058992174
2006-04-07,MCO,SELL,rebalance,235.01219151733133,58.11423873901367,13657.554604416997,21.312178634018508
2006-04-07,MRO,SELL,rebalance,863.8034525382366,16.879322052001953,14580.416665024079,26.35388732323293
2006-04-07,GOOGL,BUY,rebalance_megacap,1894.547206131969,10.164163589477539,19256.487731112957,37.4414761845291
2006-04-07,MSFT,BUY,rebalance_megacap,973.6356480228078,19.77791976928711,19256.487731112957,34.218362380580814
2006-04-07,XOM,BUY,rebalance_megacap,540.7550493634337,35.61037063598633,19256.487731112957,30.777833398278943
2006-04-07,MCO,BUY,rebalance_momentum,213.01441699822914,58.11423873901367,12379.1706842869,19.317020954089795
2006-04-07,INTU,BUY,rebalance_momentum,508.0764311368065,24.36478042602539,12379.1706842869,20.349187501872457
2006-05-01,MCO,SELL,trailing_stop,213.01441699822914,49.14326477050781,10468.223894479335,16.45125441891411
2006-05-03,MSFT,SELL,trailing_stop,973.6356480228078,16.816673278808594,16373.312585400641,29.605477734763564
2006-05-12,GOOGL,SELL,trailing_stop,1894.547206131969,9.3626127243042,17737.911778926144,37.67248456244088
2006-07-07,XOM,SELL,rebalance,540.7550493634337,36.6706657409668,19829.84766294648,31.63819008961736
2006-07-07,INTU,SELL,rebalance,508.0764311368065,26.435882568359375,13431.448869283746,21.92783537652316
2006-07-07,GOOGL,BUY,rebalance_megacap,1583.528704515267,10.521772384643555,16661.52859345912,32.2009521203147
2006-07-07,GOOG,BUY,rebalance_megacap,1591.0553317356485,10.47199821472168,16661.52859345912,32.22729531575195
2006-07-07,XOM,BUY,rebalance_megacap,454.3557706629149,36.6706657409668,16661.52859345912,26.583085871371125
2006-07-07,INTU,BUY,rebalance_momentum,405.16834039970735,26.435882568359375,10710.982667223721,17.48608597967639
2006-07-07,MCO,BUY,rebalance_momentum,242.67862485706237,44.13648986816406,10710.982667223721,16.917820194890307
2006-10-09,GOOGL,SELL,rebalance,1583.528704515267,10.735735893249512,17000.345951055453,32.743068387934294
2006-10-09,GOOG,SELL,rebalance,1591.0553317356485,10.68494987487793,17000.34646775268,32.76941240990145
2006-10-09,XOM,SELL,rebalance,454.3557706629149,39.01585006713867,17727.07662532353,28.181337984275373
2006-10-09,INTU,SELL,rebalance,405.16834039970735,31.021240234375,12568.824422902348,20.274002277838754
