date,value,cash
2015-01-02,100000.0,25000.0
2015-01-05,97676.55733161682,25000.0
2015-01-06,96650.50059772414,25000.0
2015-01-07,96231.216861087,25000.0
2015-01-08,95692.44774654375,46589.56450202901
2015-01-09,95979.0759786231,46589.56450202901
2015-01-12,95668.58885409596,46589.56450202901
2015-01-13,95912.2311927375,46589.56450202901
2015-01-14,95730.68189281563,46589.56450202901
2015-01-15,94526.85191483844,46589.56450202901
2015-01-16,93756.71733298773,46589.56450202901
2015-01-20,92426.74120112395,67563.34676354437
2015-01-21,92774.48239440858,67563.34676354437
2015-01-22,93209.15121018932,67563.34676354437
2015-01-23,93283.67031316871,67563.34676354437
2015-01-26,93171.89714143181,67563.34676354437
2015-01-27,91942.38567304735,67563.34676354437
2015-01-28,91544.973119117,67563.34676354437
2015-01-29,92128.67356157789,67563.34676354437
2015-01-30,91408.3543981393,67563.34676354437
2015-02-02,91929.97057425203,67563.34676354437
2015-02-03,92538.51437286084,67563.34676354437
2015-02-04,92600.60741158051,67563.34676354437
2015-02-05,93010.43725739905,67563.34676354437
2015-02-06,92898.6706649408,67563.34676354437
2015-02-09,92873.8360811644,30183.996726378435
2015-02-10,93691.57635713863,30183.996726378435
2015-02-11,93787.5776468691,30183.996726378435
2015-02-12,95958.99181535543,30183.996726378435
2015-02-13,96908.67005358737,30183.996726378435
2015-02-17,96938.78857886176,30183.996726378435
2015-02-18,96599.29404628773,30183.996726378435
2015-02-19,97356.53309419245,30183.996726378435
2015-02-20,95787.53566078644,30183.996726378435
2015-02-23,94936.41357806817,30183.996726378435
2015-02-24,96679.63328692708,30183.996726378435
2015-02-25,95763.07343021469,30183.996726378435
2015-02-26,95522.93795231766,50680.67504553484
2015-02-27,95579.87783620461,50680.67504553484
2015-03-02,96843.03681771678,50680.67504553484
2015-03-03,95914.04481458777,50680.67504553484
2015-03-04,95561.96023866991,50680.67504553484
2015-03-05,95539.27017738624,50680.67504553484
2015-03-06,94796.3030595542,50680.67504553484
2015-03-09,94929.01361622813,30851.929425274127
2015-03-10,94393.33663193758,30851.929425274127
2015-03-11,94023.74388669932,30851.929425274127
2015-03-12,93796.54796156814,30851.929425274127
2015-03-13,93616.85443884582,30851.929425274127
2015-03-16,93511.7594948505,30851.929425274127
2015-03-17,95001.91444928065,30851.929425274127
2015-03-18,95176.50514238297,30851.929425274127
2015-03-19,94783.22154271972,30851.929425274127
2015-03-20,96146.16605338207,30851.929425274127
2015-03-23,96686.94416982954,30851.929425274127
2015-03-24,96642.84195637095,30851.929425274127
2015-03-25,95084.89713158942,30851.929425274127
2015-03-26,94696.71636154613,30851.929425274127
2015-03-27,96417.34527698337,30851.929425274127
2015-03-30,96663.13266239935,30851.929425274127
2015-03-31,96263.42268626996,30851.929425274127
2015-04-01,96443.11451152922,30851.929425274127
