date,original_value,enhanced_value,cumulative_premium
2015-01-05,98142.47774675842,98142.47774675842,0.0
2015-01-06,96734.90934946628,96734.90934946628,0.0
2015-01-07,97391.42147075148,97391.42147075148,0.0
2015-01-08,99075.84688612643,99075.84688612643,0.0
2015-01-09,98182.31893240371,98182.31893240371,0.0
2015-01-12,97145.68246881483,97145.68246881483,0.0
2015-01-13,96892.71810649887,96892.71810649887,0.0
2015-01-14,96440.37690818046,96440.37690818046,0.0
2015-01-15,94611.6842686456,94611.6842686456,0.0
2015-01-16,95710.29890622865,95710.29890622865,0.0
2015-01-20,95611.88324262401,95611.88324262401,0.0
2015-01-21,96356.7437100255,96356.7437100255,0.0
2015-01-22,97917.25612730345,97917.25612730345,0.0
2015-01-23,98022.39071390082,98022.39071390082,0.0
2015-01-26,97938.57772206137,97938.57772206137,0.0
2015-01-27,96687.12930619287,96687.12930619287,0.0
2015-01-28,96169.63102322065,96169.63102322065,0.0
2015-01-29,97017.23233119634,97017.23233119634,0.0
2015-01-30,96802.79874869515,96802.79874869515,0.0
2015-02-02,96556.22201361907,96556.22201361907,0.0
2015-02-03,96990.24653591528,96990.24653591528,0.0
2015-02-04,97001.66250054601,97001.66250054601,0.0
2015-02-05,97499.77652251597,97499.77652251597,0.0
2015-02-06,97565.24081786847,97565.24081786847,0.0
2015-02-09,96880.16790866015,96880.16790866015,0.0
2015-02-10,97966.13493790517,97966.13493790517,0.0
2015-02-11,98059.25916975588,98059.25916975588,0.0
2015-02-12,98714.83443636322,98714.83443636322,0.0
2015-02-13,98861.73544119652,98861.73544119652,0.0
2015-02-17,98720.99544182511,98720.99544182511,0.0
2015-02-18,99034.85135918943,99034.85135918943,0.0
2015-02-19,99798.59803967483,99798.59803967483,0.0
2015-02-20,100150.6253571025,100150.6253571025,0.0
2015-02-23,99621.45449475652,99621.45449475652,0.0
2015-02-24,99900.42266692386,99900.42266692386,0.0
2015-02-25,100350.11904520134,100350.11904520134,0.0
2015-02-26,101017.87069764169,101017.87069764169,0.0
2015-02-27,100633.9556009983,100633.9556009983,0.0
2015-03-02,101827.57580986705,101827.57580986705,0.0
2015-03-03,101665.17968290024,101665.17968290024,0.0
2015-03-04,101795.7936370885,101795.7936370885,0.0
2015-03-05,102277.85329983168,102277.85329983168,0.0
2015-03-06,101267.49508463862,101267.49508463862,0.0
2015-03-09,101276.48391249466,101276.48391249466,0.0
2015-03-10,99744.64951233362,99744.64951233362,0.0
2015-03-11,99560.74385063577,99560.74385063577,0.0
2015-03-12,100736.97729073741,100736.97729073741,0.0
2015-03-13,100021.86211712618,100021.86211712618,0.0
2015-03-16,100775.49974958484,100775.49974958484,0.0
2015-03-17,100679.14798686834,100679.14798686834,0.0
2015-03-18,101255.55546761681,101255.55546761681,0.0
2015-03-19,101744.49286752183,101744.49286752183,0.0
2015-03-20,102494.48512076875,102494.48512076875,0.0
2015-03-23,102597.45927879662,102597.45927879662,0.0
2015-03-24,103260.54412594026,103260.54412594026,0.0
2015-03-25,101700.12058123155,101700.12058123155,0.0
2015-03-26,101206.16266483295,101206.16266483295,0.0
2015-03-27,101326.0501077807,101326.0501077807,0.0
2015-03-30,101799.7555143825,101799.7555143825,0.0
2015-03-31,101213.39764720762,101213.39764720762,0.0
2015-04-01,100927.61361777704,100927.61361777704,0.0
2015-04-02,100588.0337616528,100588.0337616528,0.0
2015-04-06,101102.76499660507,101709.3815865847,606.6165899796304
2015-04-07,100681.74950296133,101288.36609294097,606.6165899796304
2015-04-08,101313.77428493214,101920.39087491177,606.6165899796304
2015-04-09,101301.2610810196,101907.87767099924,606.6165899796304
2015-04-10,101316.99936370587,101923.6159536855,606.6165899796304
2015-04-13,101411.42745391268,102018.04404389231,606.6165899796304
2015-04-14,101334.36549015886,101940.98208013849,606.6165899796304
2015-04-15,100760.72895689923,101367.34554687886,606.6165899796304
2015-04-16,100776.1011028325,101382.71769281213,606.6165899796304
2015-04-17,99770.98691727892,100377.60350725855,606.6165899796304
2015-04-20,101173.39560335893,101780.01219333857,606.6165899796304
2015-04-21,101778.85261118424,102385.46920116387,606.6165899796304
2015-04-22,103558.74970478582,104165.36629476545,606.6165899796304
2015-04-23,103522.709558962,104129.32614894163,606.6165899796304
2015-04-24,103712.89679010457,104319.5133800842,606.6165899796304
2015-04-27,105004.35193027953,105610.96852025916,606.6165899796304
2015-04-28,103790.55964900233,104397.17623898196,606.6165899796304
2015-04-29,102445.8940585375,103052.51064851713,606.6165899796304
2015-04-30,99930.3223203322,100536.93891031183,606.6165899796304
2015-05-01,100977.62032959748,101584.23691957712,606.6165899796304
2015-05-04,101329.6788064005,101936.29539638013,606.6165899796304
2015-05-05,100572.80503469975,101179.42162467938,606.6165899796304
2015-05-06,100199.32670791955,100805.94329789918,606.6165899796304
