ticker,start_date,end_date,days_held,start_value,end_value
CPRI 2,2015-01-02,2015-02-09,38,100000.0,100714.0
VIX 2,2015-01-02,2015-02-09,38,100000.0,100714.0
CPRI,2015-01-02,2015-02-09,38,100000.0,100714.0
CPRI 2,2015-02-09,2015-03-09,28,100714.0,92230.0
VIX 2,2015-02-09,2015-03-09,28,100714.0,92230.0
CPRI,2015-02-09,2015-03-09,28,100714.0,92230.0
VIX 2,2015-03-09,2016-07-07,486,92230.0,145741.0
DXCM,2016-07-07,2018-02-07,580,145741.0,203705.0
VIX,2023-04-10,2023-05-08,28,1207878.0,1139778.0
VIX 2,2023-04-10,2023-05-08,28,1207878.0,1139778.0
XRAY,2023-04-10,2023-05-08,28,1207878.0,1139778.0
