date,value,cash,equity_exposure,drawdown
2015-01-02,100000.0,100000.0,1.0,0.0
2015-01-05,100000.0,100000.0,1.0,0.0
2015-01-06,100000.0,100000.0,1.0,0.0
2015-01-07,100000.0,100000.0,1.0,0.0
2015-01-08,100000.0,100000.0,1.0,0.0
2015-01-09,100000.0,100000.0,1.0,0.0
2015-01-12,100000.0,100000.0,1.0,0.0
2015-01-13,100000.0,100000.0,1.0,0.0
2015-01-14,100000.0,100000.0,1.0,0.0
2015-01-15,100000.0,100000.0,1.0,0.0
2015-01-16,100000.0,100000.0,1.0,0.0
2015-01-20,100000.0,100000.0,1.0,0.0
2015-01-21,100000.0,100000.0,1.0,0.0
2015-01-22,100000.0,100000.0,1.0,0.0
2015-01-23,100000.0,100000.0,1.0,0.0
2015-01-26,100000.0,100000.0,1.0,0.0
2015-01-27,100000.0,100000.0,1.0,0.0
2015-01-28,100000.0,100000.0,1.0,0.0
2015-01-29,100000.0,100000.0,1.0,0.0
2015-01-30,100000.0,100000.0,1.0,0.0
2015-02-02,100000.0,100000.0,1.0,0.0
2015-02-03,100000.0,100000.0,1.0,0.0
2015-02-04,100000.0,100000.0,1.0,0.0
2015-02-05,100000.0,100000.0,1.0,0.0
2015-02-06,100000.0,100000.0,1.0,0.0
2015-02-09,100000.0,100000.0,1.0,0.0
2015-02-10,99700.0,7.275957614183426e-12,1.0,0.0
2015-02-11,100324.08060142277,7.275957614183426e-12,1.0,0.0
2015-02-12,101575.19666900329,7.275957614183426e-12,1.0,0.0
2015-02-13,103073.92347604013,7.275957614183426e-12,1.0,0.0
2015-02-17,104155.33705896435,7.275957614183426e-12,1.0,0.0
2015-02-18,104934.71107606709,7.275957614183426e-12,1.0,0.0
2015-02-19,105311.33776695149,7.275957614183426e-12,1.0,0.0
2015-02-20,105883.9323492324,7.275957614183426e-12,1.0,0.0
2015-02-23,105403.96932607003,7.275957614183426e-12,1.0,-0.45329164917990844
2015-02-24,105898.96614035504,7.275957614183426e-12,1.0,0.0
2015-02-25,106460.98715201984,7.275957614183426e-12,1.0,0.0
2015-02-26,106548.79346627995,7.275957614183426e-12,1.0,0.0
2015-02-27,105979.73378579397,7.275957614183426e-12,1.0,-0.5340836455985537
2015-03-02,106084.8188882003,7.275957614183426e-12,1.0,-0.43545737402130935
2015-03-03,105167.92231030801,7.275957614183426e-12,1.0,-1.2959988668561968
2015-03-04,105254.37411582674,7.275957614183426e-12,1.0,-1.2148606364678052
2015-03-05,104849.59911689343,7.275957614183426e-12,1.0,-1.5947570067269494
2015-03-06,102639.68361404903,7.275957614183426e-12,1.0,-3.668844784683606
2015-03-09,102492.90133545091,7.275957614183426e-12,1.0,-3.8066054047929074
2015-03-10,99286.08944403086,0.0,1.0,-6.2546893128594725
2015-03-11,99774.29895682757,0.0,1.0,-6.358114708822438
2015-03-12,100781.945081178,0.0,1.0,-5.412401396104987
