date,event_type,description,portfolio_value,vix_level,holdings,return_pct,cash_pct,year,month,year_month
2015-01-02,PORTFOLIO_SNAPSHOT,"Holdings: TAP-A, AMD",100000.0,17.4,"TAP-A, AMD",0.0,10.0,2015,1,2015-01
2015-01-02,PORTFOLIO_SNAPSHOT,"Holdings: TAP-A, AMD",100000.0,17.4,"TAP-A, AMD",0.0,10.0,2015,1,2015-01
2015-01-02,PORTFOLIO_SNAPSHOT,"Holdings: TAP-A, AMD",100000.0,17.4,"TAP-A, AMD",0.0,10.0,2015,1,2015-01
2015-02-09,PORTFOLIO_SNAPSHOT,"Holdings: VIX, PODD",97087.0,18.1,"VIX, PODD",-2.9,10.0,2015,2,2015-02
2015-02-09,PORTFOLIO_SNAPSHOT,"Holdings: VIX, PODD",97087.0,18.1,"VIX, PODD",-2.9,10.0,2015,2,2015-02
2015-02-09,PORTFOLIO_SNAPSHOT,"Holdings: VIX, PODD",97087.0,18.1,"VIX, PODD",-2.9,10.0,2015,2,2015-02
2015-03-09,PORTFOLIO_SNAPSHOT,"Holdings: VIX, AMCR",96587.0,15.2,"VIX, AMCR",-3.4,10.0,2015,3,2015-03
2015-03-09,PORTFOLIO_SNAPSHOT,"Holdings: VIX, AMCR",96587.0,15.2,"VIX, AMCR",-3.4,10.0,2015,3,2015-03
2015-03-09,PORTFOLIO_SNAPSHOT,"Holdings: VIX, AMCR",96587.0,15.2,"VIX, AMCR",-3.4,10.0,2015,3,2015-03
2015-04-07,PORTFOLIO_SNAPSHOT,"Holdings: VIX, AMCR",94382.0,14.6,"VIX, AMCR",-5.6,5.0,2015,4,2015-04
2015-04-07,PORTFOLIO_SNAPSHOT,"Holdings: VIX, AMCR",94382.0,14.6,"VIX, AMCR",-5.6,5.0,2015,4,2015-04
2015-04-07,PORTFOLIO_SNAPSHOT,"Holdings: VIX, AMCR",94382.0,14.6,"VIX, AMCR",-5.6,5.0,2015,4,2015-04
2015-05-07,PORTFOLIO_SNAPSHOT,"Holdings: VIX, AMCR",92328.0,17.4,"VIX, AMCR",-7.7,10.0,2015,5,2015-05
2015-05-07,PORTFOLIO_SNAPSHOT,"Holdings: VIX, AMCR",92328.0,17.4,"VIX, AMCR",-7.7,10.0,2015,5,2015-05
2015-05-07,PORTFOLIO_SNAPSHOT,"Holdings: VIX, AMCR",92328.0,17.4,"VIX, AMCR",-7.7,10.0,2015,5,2015-05
2015-06-01,MODEL_RETRAIN,Models retrained with 63-day prediction horizon,,,,,,2015,6,2015-06
2015-06-01,MODEL_RETRAIN,Models retrained with 63-day prediction horizon,,,,,,2015,6,2015-06
2015-06-01,MODEL_RETRAIN,Models retrained with 63-day prediction horizon,,,,,,2015,6,2015-06
2015-06-08,PORTFOLIO_SNAPSHOT,"Holdings: VIX, AMCR",85232.0,11.3,"VIX, AMCR",-14.8,5.0,2015,6,2015-06
2015-06-08,PORTFOLIO_SNAPSHOT,"Holdings: VIX, AMCR",85232.0,11.3,"VIX, AMCR",-14.8,5.0,2015,6,2015-06
2015-06-08,PORTFOLIO_SNAPSHOT,"Holdings: VIX, AMCR",85232.0,11.3,"VIX, AMCR",-14.8,5.0,2015,6,2015-06
2015-07-07,PORTFOLIO_SNAPSHOT,"Holdings: VIX, AMCR",84481.0,9.9,"VIX, AMCR",-15.5,5.0,2015,7,2015-07
2015-07-07,PORTFOLIO_SNAPSHOT,"Holdings: VIX, AMCR",84481.0,9.9,"VIX, AMCR",-15.5,5.0,2015,7,2015-07
2015-07-07,PORTFOLIO_SNAPSHOT,"Holdings: VIX, AMCR",84481.0,9.9,"VIX, AMCR",-15.5,5.0,2015,7,2015-07
2015-08-07,PORTFOLIO_SNAPSHOT,"Holdings: AMCR, FCX",95181.0,15.5,"AMCR, FCX",-4.8,10.0,2015,8,2015-08
2015-08-07,PORTFOLIO_SNAPSHOT,"Holdings: AMCR, FCX",95181.0,15.5,"AMCR, FCX",-4.8,10.0,2015,8,2015-08
2015-08-07,PORTFOLIO_SNAPSHOT,"Holdings: AMCR, FCX",95181.0,15.5,"AMCR, FCX",-4.8,10.0,2015,8,2015-08
2015-09-08,PORTFOLIO_SNAPSHOT,"Holdings: TAP-A, MRO",90512.0,29.4,"TAP-A, MRO",-9.5,35.0,2015,9,2015-09
2015-09-08,PORTFOLIO_SNAPSHOT,"Holdings: TAP-A, MRO",90512.0,29.4,"TAP-A, MRO",-9.5,35.0,2015,9,2015-09
2015-09-08,PORTFOLIO_SNAPSHOT,"Holdings: TAP-A, MRO",90512.0,29.4,"TAP-A, MRO",-9.5,35.0,2015,9,2015-09
2015-10-07,PORTFOLIO_SNAPSHOT,"Holdings: AMCR, FCX",100239.0,28.8,"AMCR, FCX",0.2,35.0,2015,10,2015-10
2015-10-07,PORTFOLIO_SNAPSHOT,"Holdings: AMCR, FCX",100239.0,28.8,"AMCR, FCX",0.2,35.0,2015,10,2015-10
2015-10-07,PORTFOLIO_SNAPSHOT,"Holdings: AMCR, FCX",100239.0,28.8,"AMCR, FCX",0.2,35.0,2015,10,2015-10
2015-11-02,MODEL_RETRAIN,Models retrained with 63-day prediction horizon,,,,,,2015,11,2015-11
2015-11-02,MODEL_RETRAIN,Models retrained with 63-day prediction horizon,,,,,,2015,11,2015-11
2015-11-02,MODEL_RETRAIN,Models retrained with 63-day prediction horizon,,,,,,2015,11,2015-11
2015-11-09,PORTFOLIO_SNAPSHOT,"Holdings: VIX, BLDR",91552.0,21.4,"VIX, BLDR",-8.4,20.0,2015,11,2015-11
2015-11-09,PORTFOLIO_SNAPSHOT,"Holdings: VIX, BLDR",91552.0,21.4,"VIX, BLDR",-8.4,20.0,2015,11,2015-11
2015-11-09,PORTFOLIO_SNAPSHOT,"Holdings: VIX, BLDR",91552.0,21.4,"VIX, BLDR",-8.4,20.0,2015,11,2015-11
2015-12-07,PORTFOLIO_SNAPSHOT,"Holdings: VIX, AMCR",70286.0,14.9,"VIX, AMCR",-29.7,5.0,2015,12,2015-12
2015-12-07,PORTFOLIO_SNAPSHOT,"Holdings: VIX, AMCR",70286.0,14.9,"VIX, AMCR",-29.7,5.0,2015,12,2015-12
2015-12-07,PORTFOLIO_SNAPSHOT,"Holdings: VIX, AMCR",70286.0,14.9,"VIX, AMCR",-29.7,5.0,2015,12,2015-12
2016-01-07,PORTFOLIO_SNAPSHOT,"Holdings: WMB, TRGP",72341.0,18.1,"WMB, TRGP",-27.7,10.0,2016,1,2016-01
2016-01-07,PORTFOLIO_SNAPSHOT,"Holdings: WMB, TRGP",72341.0,18.1,"WMB, TRGP",-27.7,10.0,2016,1,2016-01
2016-01-07,PORTFOLIO_SNAPSHOT,"Holdings: WMB, TRGP",72341.0,18.1,"WMB, TRGP",-27.7,10.0,2016,1,2016-01
2016-02-08,PORTFOLIO_SNAPSHOT,"Holdings: BLDR, AMCR",64370.0,25.2,"BLDR, AMCR",-35.6,35.0,2016,2,2016-02
2016-02-08,PORTFOLIO_SNAPSHOT,"Holdings: BLDR, AMCR",64370.0,25.2,"BLDR, AMCR",-35.6,35.0,2016,2,2016-02
2016-02-08,PORTFOLIO_SNAPSHOT,"Holdings: BLDR, AMCR",64370.0,25.2,"BLDR, AMCR",-35.6,35.0,2016,2,2016-02
2016-03-07,PORTFOLIO_SNAPSHOT,"Holdings: EXAS, MRO",73866.0,23.4,"EXAS, MRO",-26.1,20.0,2016,3,2016-03
2016-03-07,PORTFOLIO_SNAPSHOT,"Holdings: EXAS, MRO",73866.0,23.4,"EXAS, MRO",-26.1,20.0,2016,3,2016-03
2016-03-07,PORTFOLIO_SNAPSHOT,"Holdings: EXAS, MRO",73866.0,23.4,"EXAS, MRO",-26.1,20.0,2016,3,2016-03
2016-04-07,PORTFOLIO_SNAPSHOT,"Holdings: VIX, CF",77987.0,14.4,"VIX, CF",-22.0,5.0,2016,4,2016-04
2016-04-07,PORTFOLIO_SNAPSHOT,"Holdings: VIX, CF",77987.0,14.4,"VIX, CF",-22.0,5.0,2016,4,2016-04
2016-04-07,PORTFOLIO_SNAPSHOT,"Holdings: VIX, CF",77987.0,14.4,"VIX, CF",-22.0,5.0,2016,4,2016-04
2016-05-02,MODEL_RETRAIN,Models retrained with 63-day prediction horizon,,,,,,2016,5,2016-05
2016-05-02,MODEL_RETRAIN,Models retrained with 63-day prediction horizon,,,,,,2016,5,2016-05
2016-05-02,MODEL_RETRAIN,Models retrained with 63-day prediction horizon,,,,,,2016,5,2016-05
2016-05-09,PORTFOLIO_SNAPSHOT,"Holdings: VIX, STX",76027.0,10.7,"VIX, STX",-24.0,5.0,2016,5,2016-05
2016-05-09,PORTFOLIO_SNAPSHOT,"Holdings: VIX, STX",76027.0,10.7,"VIX, STX",-24.0,5.0,2016,5,2016-05
2016-05-09,PORTFOLIO_SNAPSHOT,"Holdings: VIX, STX",76027.0,10.7,"VIX, STX",-24.0,5.0,2016,5,2016-05
2016-06-07,PORTFOLIO_SNAPSHOT,"Holdings: VIX, CF",92613.0,12.4,"VIX, CF",-7.4,5.0,2016,6,2016-06
2016-06-07,PORTFOLIO_SNAPSHOT,"Holdings: VIX, CF",92613.0,12.4,"VIX, CF",-7.4,5.0,2016,6,2016-06
2016-06-07,PORTFOLIO_SNAPSHOT,"Holdings: VIX, CF",92613.0,12.4,"VIX, CF",-7.4,5.0,2016,6,2016-06
2016-07-07,PORTFOLIO_SNAPSHOT,"Holdings: VIX, AMCR",96351.0,19.7,"VIX, AMCR",-3.6,10.0,2016,7,2016-07
2016-07-07,PORTFOLIO_SNAPSHOT,"Holdings: VIX, AMCR",96351.0,19.7,"VIX, AMCR",-3.6,10.0,2016,7,2016-07
2016-07-07,PORTFOLIO_SNAPSHOT,"Holdings: VIX, AMCR",96351.0,19.7,"VIX, AMCR",-3.6,10.0,2016,7,2016-07
2016-08-08,PORTFOLIO_SNAPSHOT,"Holdings: VIX, TRGP",91041.0,13.7,"VIX, TRGP",-9.0,5.0,2016,8,2016-08
2016-08-08,PORTFOLIO_SNAPSHOT,"Holdings: VIX, TRGP",91041.0,13.7,"VIX, TRGP",-9.0,5.0,2016,8,2016-08
2016-08-08,PORTFOLIO_SNAPSHOT,"Holdings: VIX, TRGP",91041.0,13.7,"VIX, TRGP",-9.0,5.0,2016,8,2016-08
2016-09-07,PORTFOLIO_SNAPSHOT,"Holdings: VIX, CF",91740.0,6.3,"VIX, CF",-8.3,5.0,2016,9,2016-09
2016-09-07,PORTFOLIO_SNAPSHOT,"Holdings: VIX, CF",91740.0,6.3,"VIX, CF",-8.3,5.0,2016,9,2016-09
2016-09-07,PORTFOLIO_SNAPSHOT,"Holdings: VIX, CF",91740.0,6.3,"VIX, CF",-8.3,5.0,2016,9,2016-09
2016-10-07,PORTFOLIO_SNAPSHOT,"Holdings: VIX, AMCR",117348.0,13.9,"VIX, AMCR",17.3,5.0,2016,10,2016-10
2016-10-07,PORTFOLIO_SNAPSHOT,"Holdings: VIX, AMCR",117348.0,13.9,"VIX, AMCR",17.3,5.0,2016,10,2016-10
2016-10-07,PORTFOLIO_SNAPSHOT,"Holdings: VIX, AMCR",117348.0,13.9,"VIX, AMCR",17.3,5.0,2016,10,2016-10
2016-11-01,MODEL_RETRAIN,Models retrained with 63-day prediction horizon,,,,,,2016,11,2016-11
2016-11-01,MODEL_RETRAIN,Models retrained with 63-day prediction horizon,,,,,,2016,11,2016-11
2016-11-01,MODEL_RETRAIN,Models retrained with 63-day prediction horizon,,,,,,2016,11,2016-11
2016-11-07,PORTFOLIO_SNAPSHOT,"Holdings: VIX, AMCR",112609.0,11.6,"VIX, AMCR",12.6,5.0,2016,11,2016-11
2016-11-07,PORTFOLIO_SNAPSHOT,"Holdings: VIX, AMCR",112609.0,11.6,"VIX, AMCR",12.6,5.0,2016,11,2016-11
2016-11-07,PORTFOLIO_SNAPSHOT,"Holdings: VIX, AMCR",112609.0,11.6,"VIX, AMCR",12.6,5.0,2016,11,2016-11
2016-12-07,PORTFOLIO_SNAPSHOT,"Holdings: VIX, AMCR",111891.0,12.9,"VIX, AMCR",11.9,5.0,2016,12,2016-12
2016-12-07,PORTFOLIO_SNAPSHOT,"Holdings: VIX, AMCR",111891.0,12.9,"VIX, AMCR",11.9,5.0,2016,12,2016-12
2016-12-07,PORTFOLIO_SNAPSHOT,"Holdings: VIX, AMCR",111891.0,12.9,"VIX, AMCR",11.9,5.0,2016,12,2016-12
2017-01-09,PORTFOLIO_SNAPSHOT,"Holdings: VIX, AMCR",107338.0,9.2,"VIX, AMCR",7.3,5.0,2017,1,2017-01
2017-01-09,PORTFOLIO_SNAPSHOT,"Holdings: VIX, AMCR",107338.0,9.2,"VIX, AMCR",7.3,5.0,2017,1,2017-01
2017-01-09,PORTFOLIO_SNAPSHOT,"Holdings: VIX, AMCR",107338.0,9.2,"VIX, AMCR",7.3,5.0,2017,1,2017-01
2017-02-07,PORTFOLIO_SNAPSHOT,"Holdings: VIX, AMCR",115887.0,9.5,"VIX, AMCR",15.9,5.0,2017,2,2017-02
2017-02-07,PORTFOLIO_SNAPSHOT,"Holdings: VIX, AMCR",115887.0,9.5,"VIX, AMCR",15.9,5.0,2017,2,2017-02
2017-02-07,PORTFOLIO_SNAPSHOT,"Holdings: VIX, AMCR",115887.0,9.5,"VIX, AMCR",15.9,5.0,2017,2,2017-02
2017-03-07,PORTFOLIO_SNAPSHOT,"Holdings: VIX, ETSY",112382.0,11.0,"VIX, ETSY",12.4,5.0,2017,3,2017-03
2017-03-07,PORTFOLIO_SNAPSHOT,"Holdings: VIX, ETSY",112382.0,11.0,"VIX, ETSY",12.4,5.0,2017,3,2017-03
2017-03-07,PORTFOLIO_SNAPSHOT,"Holdings: VIX, ETSY",112382.0,11.0,"VIX, ETSY",12.4,5.0,2017,3,2017-03
